user,item
0,17
0,26
0,65
0,1107
0,0
0,78
0,16
0,2272
0,9
1,110
1,17
1,9
1,11
1,1
1,377
1,21
1,2398
1,791
2,14
2,11
2,59
2,103
2,16
2,106
2,2186
2,2
2,133
2,17
2,114
2,9
2,21
2,319
2,366
2,549
2,167
2,69
2,711
2,844
2,950
2,356
2,3
2,45
2,78
2,1496
2,757
2,39
3,9
3,1557
3,66
3,1031
3,155
3,319
3,21
3,2785
3,943
3,512
3,11
3,197
3,727
3,550
3,3
3,17
3,2009
3,16
4,115
4,2769
4,565
4,2883
4,1450
4,329
4,25
4,273
4,429
4,31
4,2116
4,197
4,9
4,334
4,844
4,8
4,21
4,155
4,70
4,691
4,519
4,2073
4,5
4,4
4,73
4,3118
4,1083
4,1248
4,102
4,97
4,234
4,2187
4,106
4,713
5,31
5,59
5,38
5,65
5,167
5,5
5,77
5,197
5,615
5,2438
5,425
5,21
5,1576
5,1962
5,1268
5,1502
5,25
5,9
5,11
5,883
5,323
5,311
5,275
5,1287
5,16
5,526
5,272
5,711
6,702
6,197
6,65
6,21
6,305
6,6
6,1293
6,242
6,948
6,1226
6,2705
6,3124
6,1511
6,9
6,102
6,17
7,95
7,141
7,2806
7,175
7,2271
7,400
7,316
7,237
7,453
7,2068
7,1533
7,1872
7,1789
7,181
7,655
7,1045
7,1716
7,323
7,1191
7,1386
7,647
7,616
7,242
7,1027
7,2718
7,212
7,69
7,2051
7,266
7,572
7,78
7,311
7,656
7,75
7,1060
7,197
7,669
7,1040
7,498
7,1863
7,2787
7,135
7,2188
7,138
7,79
7,1640
7,2377
7,199
7,826
7,539
7,3
7,407
7,7
7,67
7,1030
7,190
7,39
7,275
7,1098
7,3435
7,17
8,80
8,1275
8,155
8,412
8,9
8,17
8,21
8,1190
8,106
8,49
8,65
8,2392
8,11
8,0
8,16
8,3860
8,3401
8,2403
8,25
8,15
8,1336
8,616
8,70
8,828
8,3428
8,305
8,404
8,4010
8,102
9,543
9,9
9,438
9,16
9,11
9,17
9,21
9,937
9,26
9,65
10,21
10,167
10,1066
10,3283
10,16
10,374
10,9
10,39
10,3
10,1290
10,5
10,377
10,35
10,209
11,384
11,136
11,4025
11,1387
11,1568
11,1846
11,344
11,67
11,289
11,9
11,58
11,97
11,274
11,120
11,624
11,3845
11,44
11,526
11,1851
11,1149
11,111
11,17
11,1311
12,2536
12,3470
12,1839
12,3205
12,465
12,9
12,290
12,2467
12,1437
12,412
12,171
12,3060
12,1255
12,2891
12,5
12,1517
12,1474
12,1383
12,162
12,44
12,3601
12,13
12,19
12,3917
12,124
12,58
12,1408
12,110
12,1650
12,563
12,2694
12,338
12,485
12,2589
12,2365
12,1504
12,1732
12,24
12,448
12,487
12,1385
12,21
12,2740
12,2622
12,624
12,3491
12,1629
12,17
12,264
12,1648
12,2336
12,849
13,16
13,854
13,20
13,21
13,11
13,103
13,26
13,9
13,5
13,209
13,678
13,39
13,4014
13,106
13,742
14,0
14,2200
14,34
14,25
14,9
14,209
14,783
14,40
14,727
14,958
14,319
14,3773
14,253
14,17
14,1750
14,110
14,14
14,1163
14,1368
14,491
15,323
15,21
15,79
15,14
15,586
15,2903
15,89
15,73
15,1288
15,227
15,95
15,138
15,74
15,181
15,3
15,259
15,116
15,266
15,930
15,453
15,141
15,407
15,275
15,237
15,1127
15,197
15,337
15,39
15,1259
15,1060
15,209
15,319
15,78
15,135
15,11
15,1604
15,572
15,594
15,9
15,72
15,350
15,316
15,1817
15,69
15,1052
15,1730
15,16
15,246
15,85
15,430
15,106
15,31
16,1212
16,3101
16,1144
16,25
16,65
16,244
16,2520
16,15
16,788
16,9
16,4002
16,223
16,1865
16,3183
16,69
16,17
16,316
16,3347
16,1370
16,469
16,28
16,1759
16,110
16,405
16,166
17,65
17,3
17,17
17,16
17,88
17,103
17,43
17,774
17,3078
17,21
17,78
17,207
17,25
17,168
18,229
18,43
18,3
18,21
18,681
18,25
18,103
18,371
18,222
18,1461
18,16
18,560
18,205
18,1299
18,66
18,2350
18,830
18,17
18,89
18,543
18,1375
19,239
19,319
19,25
19,262
19,71
19,17
20,3
20,181
20,17
20,453
20,209
20,9
20,31
20,323
20,16
20,200
20,95
20,311
20,69
20,266
20,106
20,1736
20,2262
20,655
20,264
20,197
20,1055
20,138
20,102
20,275
20,78
20,79
21,453
21,95
21,19
21,2493
21,883
21,1714
21,1672
21,826
21,1004
21,586
21,518
21,181
21,3065
21,2348
21,2299
21,94
21,1789
21,197
21,135
21,1802
21,17
21,3296
21,54
21,311
21,208
21,39
21,1502
21,227
21,905
21,274
21,3728
21,706
21,83
21,1218
22,749
22,790
22,26
22,1335
22,412
